learning_rate,epoch,training_loss,training_error,test_loss,test_error
0.025000,66,0.003177,0.630915,0.036452,5.779771
0.025000,67,0.003133,0.630915,0.036294,5.680120
0.025000,68,0.003099,0.630915,0.036240,5.630294
0.025000,69,0.003068,0.617199,0.036245,5.630294
0.025000,70,0.003032,0.617199,0.036234,5.580468
0.025000,71,0.002984,0.603484,0.036275,5.630294
0.025000,72,0.002937,0.603484,0.036425,5.630294
0.025000,73,0.002953,0.576053,0.036744,5.680120
0.025000,74,0.002869,0.576053,0.036378,5.680120
0.025000,75,0.002840,0.576053,0.036310,5.779771
0.025000,76,0.002820,0.562337,0.036306,5.779771
0.025000,77,0.002804,0.562337,0.036305,5.729945
0.025000,78,0.002791,0.562337,0.036270,5.729945
0.025000,79,0.002775,0.562337,0.036244,5.729945
0.025000,80,0.002752,0.562337,0.036234,5.580468
0.025000,81,0.002741,0.562337,0.036307,5.580468
0.025000,82,0.002727,0.562337,0.036412,5.580468
0.025000,83,0.002712,0.562337,0.036343,5.630294
0.025000,84,0.002703,0.548622,0.036315,5.680120
0.025000,85,0.002696,0.548622,0.036288,5.580468
0.025000,86,0.002689,0.548622,0.036262,5.580468
0.025000,87,0.002682,0.548622,0.036238,5.580468
0.025000,88,0.002676,0.548622,0.036213,5.580468
0.025000,89,0.002670,0.548622,0.036188,5.530643
0.025000,90,0.002664,0.548622,0.036163,5.530643
0.025000,91,0.002657,0.534906,0.036138,5.480817
0.025000,92,0.002648,0.534906,0.036115,5.430992
0.025000,93,0.002636,0.534906,0.036102,5.430992
0.025000,94,0.002619,0.534906,0.036117,5.430992
0.025000,95,0.002604,0.534906,0.036153,5.381166
0.025000,96,0.002592,0.534906,0.036153,5.231689
0.025000,97,0.002584,0.534906,0.036120,5.231689
0.025000,98,0.002576,0.534906,0.036077,5.181863
0.025000,99,0.002569,0.521191,0.036027,5.181863
0.025000,100,0.002561,0.521191,0.035968,5.231689
0.012500,1,0.360300,88.588669,0.360978,89.088188
0.012500,2,0.327003,75.257164,0.330071,76.581963
0.012500,3,0.123699,18.186806,0.125863,19.332336
0.012500,4,0.072956,10.684405,0.076028,11.459890
0.012500,5,0.056562,8.311617,0.060451,9.217738
0.012500,6,0.048813,7.228089,0.053825,8.320877
0.012500,7,0.044241,6.446304,0.050482,7.922272
0.012500,8,0.040828,5.856535,0.048336,7.772795
0.012500,9,0.038631,5.691949,0.047030,7.224713
0.012500,10,0.036806,5.554793,0.045845,7.075237
0.012500,11,0.035190,5.170758,0.044864,6.776283
0.012500,12,0.033335,4.937594,0.044009,6.776283
0.012500,13,0.031363,4.718146,0.042940,6.576981
0.012500,14,0.029652,4.347826,0.041301,6.278027
0.012500,15,0.027746,4.046084,0.040219,6.128550
0.012500,16,0.027299,3.991222,0.040115,6.377678
0.012500,17,0.025838,3.552325,0.039741,6.576981
0.012500,18,0.024259,3.470031,0.038825,6.278027
0.012500,19,0.022775,3.195721,0.038979,6.078724
0.012500,20,0.021412,2.948841,0.037566,5.829597
0.012500,21,0.021041,2.989988,0.037660,5.929248
0.012500,22,0.020540,2.907694,0.036935,5.630294
0.012500,23,0.020669,2.825401,0.036485,5.331340
0.012500,24,0.018960,2.660815,0.035183,5.630294
0.012500,25,0.017329,2.304211,0.035280,5.181863
0.012500,26,0.016779,2.194486,0.035507,5.381166
0.012500,27,0.017345,2.331642,0.036577,5.480817
0.012500,28,0.016313,2.208202,0.036250,5.580468
0.012500,29,0.015938,2.016184,0.036277,5.430992
0.012500,30,0.015927,2.016184,0.036643,5.580468
0.012500,31,0.016503,2.221917,0.036792,5.430992
0.012500,32,0.017029,2.290495,0.037127,5.480817
0.012500,33,0.014517,1.906460,0.035303,5.381166
0.012500,34,0.014905,2.016184,0.035921,5.281515
0.012500,35,0.013899,1.783020,0.035595,4.982561
0.012500,36,0.012918,1.700727,0.035716,5.132038
0.012500,37,0.011928,1.618434,0.034667,5.132038
0.012500,38,0.011671,1.549856,0.035160,5.132038
0.012500,39,0.011262,1.591003,0.034638,5.032387
0.012500,40,0.011083,1.494994,0.035630,5.032387
0.012500,41,0.010621,1.481278,0.035411,5.082212
0.012500,42,0.010516,1.412701,0.035337,5.381166
0.012500,43,0.009884,1.344123,0.035196,5.331340
0.012500,44,0.009498,1.261830,0.035079,5.331340
0.012500,45,0.009213,1.289261,0.034922,5.231689
0.012500,46,0.009071,1.289261,0.035154,5.480817
0.012500,47,0.008795,1.261830,0.035103,5.331340
0.012500,48,0.008633,1.206967,0.035051,5.381166
0.012500,49,0.008382,1.193252,0.034997,5.331340
0.012500,50,0.008297,1.193252,0.035111,5.381166
0.012500,51,0.008093,1.152105,0.035138,5.381166
0.012500,52,0.007986,1.124674,0.035214,5.381166
0.012500,53,0.007815,1.124674,0.035261,5.331340
0.012500,54,0.007605,1.110959,0.035298,5.331340
0.012500,55,0.007426,1.097243,0.035381,5.381166
0.012500,56,0.007243,1.110959,0.035467,5.381166
0.012500,57,0.007079,1.069812,0.035505,5.430992
0.012500,58,0.006946,1.056097,0.035506,5.381166
0.012500,59,0.006821,1.028665,0.035494,5.430992
0.012500,60,0.006724,1.028665,0.035486,5.381166
0.012500,61,0.006610,1.028665,0.035471,5.381166
0.012500,62,0.006498,1.028665,0.035454,5.381166
0.012500,63,0.006400,1.028665,0.035430,5.331340
0.012500,64,0.006302,1.014950,0.035402,5.231689
0.012500,65,0.006201,0.987519,0.035378,5.231689
0.012500,66,0.006098,0.973803,0.035361,5.331340
0.012500,67,0.005979,0.973803,0.035295,5.331340
0.012500,68,0.005872,0.973803,0.035240,5.331340
0.012500,69,0.005782,0.973803,0.035147,5.331340
0.012500,70,0.005704,0.960088,0.035101,5.231689
0.012500,71,0.005637,0.960088,0.035080,5.231689
0.012500,72,0.005567,0.946372,0.035075,5.132038
0.012500,73,0.005493,0.932657,0.035083,5.132038
0.012500,74,0.005431,0.932657,0.035093,5.082212
0.012500,75,0.005383,0.905226,0.035132,5.231689
0.012500,76,0.005278,0.905226,0.035067,5.132038
0.012500,77,0.005210,0.891510,0.034971,5.132038
0.012500,78,0.005158,0.891510,0.034891,5.231689
0.012500,79,0.005141,0.891510,0.034871,5.281515
0.012500,80,0.005087,0.891510,0.034928,5.381166
0.012500,81,0.005075,0.891510,0.035183,5.381166
0.012500,82,0.004943,0.891510,0.034724,5.281515
0.012500,83,0.004805,0.877795,0.034613,5.281515
0.012500,84,0.004743,0.877795,0.034550,5.181863
0.012500,85,0.004712,0.877795,0.034520,5.231689
0.012500,86,0.004656,0.877795,0.034535,5.132038
0.012500,87,0.004590,0.877795,0.034496,5.231689
0.012500,88,0.004543,0.877795,0.034469,5.132038
0.012500,89,0.004505,0.877795,0.034452,5.181863
0.012500,90,0.004462,0.864079,0.034435,5.181863
0.012500,91,0.004422,0.864079,0.034415,5.181863
0.012500,92,0.004385,0.864079,0.034401,5.181863
0.012500,93,0.004350,0.864079,0.034393,5.181863
0.012500,94,0.004315,0.864079,0.034391,5.132038
0.012500,95,0.004282,0.864079,0.034397,5.181863
0.012500,96,0.004255,0.850363,0.034404,5.231689
0.012500,97,0.004224,0.850363,0.034393,5.181863
0.012500,98,0.004196,0.850363,0.034374,5.181863
0.012500,99,0.004174,0.850363,0.034349,5.132038
0.012500,100,0.004153,0.850363,0.034321,5.132038
0.006250,1,0.360210,88.588669,0.360797,89.088188
0.006250,2,0.359932,88.588669,0.360532,89.088188
0.006250,3,0.357099,87.889175,0.357909,88.440460
0.006250,4,0.325712,74.612534,0.328444,76.283012
0.006250,5,0.199140,31.436016,0.202001,31.091181
0.006250,6,0.113928,15.978603,0.115624,15.894370
0.006250,7,0.081763,11.356467,0.083061,11.958146
0.006250,8,0.066016,9.299136,0.068118,9.915297
0.006250,9,0.056299,7.790427,0.059761,8.819133
0.006250,10,0.049914,6.761761,0.054659,8.121574
0.006250,11,0.045420,6.062269,0.051313,7.822621
0.006250,12,0.041884,5.541078,0.048810,7.374190
